model,threshold,accuracy,precision,recall,f1
mobilenet,0.4,0.8235,0.761519805982215,0.942,0.8421993741618239
mobilenet,0.42000000000000004,0.829,0.769672131147541,0.939,0.845945945945946
mobilenet,0.44000000000000006,0.8325,0.7763923524522028,0.934,0.8479346345891966
mobilenet,0.4600000000000001,0.835,0.7810402684563759,0.931,0.8494525547445255
mobilenet,0.4800000000000001,0.838,0.7879045996592845,0.925,0.8509659613615456
mobilenet,0.5000000000000001,0.8435,0.7974025974025974,0.921,0.8547563805104408
mobilenet,0.5200000000000001,0.8455,0.8017467248908297,0.918,0.855944055944056
mobilenet,0.5400000000000001,0.845,0.8063943161634103,0.908,0.8541862652869238
mobilenet,0.5600000000000002,0.8435,0.8091809180918091,0.899,0.8517290383704406
mobilenet,0.5800000000000002,0.8455,0.8161024702653248,0.892,0.8523650262780698
mobilenet,0.6000000000000002,0.8485,0.8223866790009251,0.889,0.8543969245555022
mobilenet,0.6200000000000002,0.8505,0.8278765201122544,0.885,0.8554857419043016
mobilenet,0.6400000000000002,0.8545,0.8372978116079924,0.88,0.8581179912237933
mobilenet,0.6600000000000003,0.856,0.8416506717850288,0.877,0.8589618021547503
mobilenet,0.6800000000000003,0.8545,0.8472086190009794,0.865,0.8560118753092528
mobilenet,0.7000000000000003,0.8535,0.8531468531468531,0.854,0.8535732133933034
mobilenet,0.7200000000000003,0.854,0.859026369168357,0.847,0.8529707955689829
mobilenet,0.7400000000000003,0.8535,0.8633093525179856,0.84,0.8514951849974658
mobilenet,0.7600000000000003,0.855,0.8705636743215032,0.834,0.8518896833503575
mobilenet,0.7800000000000004,0.857,0.8805970149253731,0.826,0.8524251805985552
resnet,0.4,0.5,0.5,1.0,0.6666666666666666
resnet,0.42000000000000004,0.5,0.5,1.0,0.6666666666666666
resnet,0.44000000000000006,0.5,0.5,1.0,0.6666666666666666
resnet,0.4600000000000001,0.5,0.5,1.0,0.6666666666666666
resnet,0.4800000000000001,0.5005,0.5002501250625313,1.0,0.6668889629876625
resnet,0.5000000000000001,0.5005,0.5002501250625313,1.0,0.6668889629876625
resnet,0.5200000000000001,0.5005,0.5002501250625313,1.0,0.6668889629876625
resnet,0.5400000000000001,0.5005,0.5002501250625313,1.0,0.6668889629876625
resnet,0.5600000000000002,0.5005,0.5002501250625313,1.0,0.6668889629876625
resnet,0.5800000000000002,0.5005,0.5002501250625313,1.0,0.6668889629876625
resnet,0.6000000000000002,0.5005,0.5002503755633451,0.999,0.6666666666666666
resnet,0.6200000000000002,0.5005,0.5002503755633451,0.999,0.6666666666666666
resnet,0.6400000000000002,0.5,0.5,0.998,0.6662216288384513
resnet,0.6600000000000003,0.5005,0.5002506265664161,0.998,0.6664440734557596
resnet,0.6800000000000003,0.5005,0.5002506265664161,0.998,0.6664440734557596
resnet,0.7000000000000003,0.501,0.5005015045135406,0.998,0.6666666666666666
resnet,0.7200000000000003,0.5015,0.5007526342197692,0.998,0.6668894086201136
resnet,0.7400000000000003,0.501,0.5005020080321285,0.997,0.6664438502673797
resnet,0.7600000000000003,0.5005,0.5002511300853842,0.996,0.6659979939819458
resnet,0.7800000000000004,0.501,0.5005025125628141,0.996,0.6662207357859532
efficientnet,0.4,0.5,0.5,1.0,0.6666666666666666
efficientnet,0.42000000000000004,0.5,0.5,1.0,0.6666666666666666
efficientnet,0.44000000000000006,0.5,0.5,1.0,0.6666666666666666
efficientnet,0.4600000000000001,0.5,0.5,1.0,0.6666666666666666
